Datetime,Area ID,Area Boss,Remain Count,Capture Type,Capture Status,Sangvis ID,Sangvis Rank,Sangvis Name
2022-12-20 12:24:39,30,Destroyer - Dashing Reindeer,73,SVAROG,O,3006,?,Dinergate
2022-12-20 12:24:39,30,Destroyer - Dashing Reindeer,72,SVAROG,O,3008,?,Prowler
2022-12-20 12:24:39,30,Destroyer - Dashing Reindeer,71,SVAROG,O,3002,?,Vespid
2022-12-20 12:24:46,30,Destroyer - Dashing Reindeer,70,PULSE,O,3004,?,Jaeger
2022-12-20 12:24:56,30,Destroyer - Dashing Reindeer,69,PULSE,O,3001,?,Ripper
2022-12-20 12:25:06,30,Destroyer - Dashing Reindeer,68,PULSE,O,3002,?,Vespid
2022-12-20 12:25:17,30,Destroyer - Dashing Reindeer,67,PULSE,O,3006,?,Dinergate
2022-12-20 12:25:31,30,Destroyer - Dashing Reindeer,66,PULSE,O,3001,?,Ripper
2022-12-20 12:25:46,30,Destroyer - Dashing Reindeer,65,PULSE,O,3004,?,Jaeger
2022-12-20 12:25:55,30,Destroyer - Dashing Reindeer,64,PULSE,O,3008,?,Prowler
2022-12-20 12:26:11,30,Destroyer - Dashing Reindeer,63,PULSE,O,3002,?,Vespid
2022-12-20 12:26:20,30,Destroyer - Dashing Reindeer,62,PULSE,O,3009,?,Jaguar
2022-12-20 12:26:37,30,Destroyer - Dashing Reindeer,61,SVAROG,O,2004,??,Nemeum
2022-12-20 12:26:37,30,Destroyer - Dashing Reindeer,60,SVAROG,O,3008,?,Prowler
